t;Zt
1;235,000
2;239,000
3;244,090
4;252,731
5;264,377
6;277,934
7;286,687
8;295,629
9;310,444
10;325,112
11;336,291
12;344,459
13;355,399
14;367,691
15;384,003
16;398,042
17;412,969
18;422,901
19;434,960
20;445,853
21;455,929
22;465,584
23;477,894
24;491,408
25;507,712
26;517,237
27;524,349
28;532,104
29;538,097
30;544,948
31;551,925
32;557,929
33;564,285
34;572,164
35;582,926
36;595,295
37;607,028
38;617,541
39;622,941
40;633,436
41;647,371
42;658,230
43;670,777
44;685,457
45;690,992
46;693,557
47;700,675
48;712,710
49;726,513
50;736,429
51;743,203
52;751,227
53;764,265
54;777,852
55;791,070
56;805,844
57;815,122
58;822,905
59;830,663
60;839,600
61;846,962
62;853,830
63;860,840
64;871,075
65;877,792
66;881,143
67;884,226
68;890,208
69;894,966
70;901,288
71;913,138
72;922,511
73;930,786
74;941,306
75;950,305
76;952,373
77;960,042
78;968,100
79;972,477
80;977,408
81;977,602
82;979,505
83;982,934
84;985,833
85;991,350
86;996,291
87;1.003,100
88;1.010,320
89;1.018,420
90;1.029,480
